"country","start.year","end.year","Corruption_types","Justification","PR1","PR2","PR3","PR4","PR5","CL1","CL2","CL3","CL4","CL5","confidence","Corruption_rating","PR_total","CL_total","Score"
"Timor-Leste",1990,2004,"""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Fraud committed by private citizens against the government""","These are some of the evidence that I found quite interesting when researching on East Timor: On the 20th of May 2002 East Timor gained Independence from Indonesia. Getting to that position was very difficult for East Timor as there was so much opposition from the Indonesian militia who wanted nothing else but to keep tabs of them. Now that they have gotten past this obstacle, the new government is now trying to build up democratic institutions in a land plagued by neglecy and brutality. Although under new leadership East Timor has a long way to go in trying to eradicate corruption. One problem being faced by the country is the discrimination of minority groups. Ethnic Malay Muslims and ethnic Chinese face occasional harassment; while non Portuguese speakers claim to be at a disadvantage in competign for political and civil service posts as reported by Freedom House. Moreover women face problems such as domestic violence daily. The Judiciary doesnt help this situation as they keep a relatively poor record of these criminal practises. Their judiciary system also says alot about the corruption that goes on within it as civil law judiciary is weak and inexperienced. Courts are short on trained lawyers, prosecuters and translators. I found it difficult to answer question 12 as there is a limited amount of institutions out there that can hold the government accountable for whatever reason as most institutions are weak and unstable at times. All in all, the research I carried out suggests that East Timor is finding it difficult to move forward into a more transparent democracy as their past suggests otherwise.",3,3,2,0,3,1,2,1,1,0,4,0,11,5,16
"Singapore",1990,2010,"""Special privileges granted to politically-connected people"",""Not much corruption detected"",""Other""","Q4 - There are evidences show that legislature voting is not really fair in Singapore: In the Singapore's first presidential election in 1993, Lee Kuan Yew successor - Ong Teng Cheong - won against oppsition cadidates. The point was the the Presidential Elections Committee (PEC) rejected two potential opponents. Meanwhile, the defeated Workers' Party candidates were even faced a defamation suit from PAP. Additionally, in 1999 presidential election, opposition cadidates from Singapore Domocratic Party (SDP) was jailed for making speeches without permission.Generally, opposition candidates had to face alots lawsuits and bankrupting. Q5 - The Elections Department of Singapore has clearly noted the following suffrage for a voter are: being the Singapore Citizen and holding the Pink Identity Card; be at least 21 years-old; being a resident with residential constituency Address (Singapore's Elections Department website: http://www.eld.gov.sg/voters.html ) Q6- There is evidence that voting in Singapore is not completly fair and clean. Base on freedomhouse.org, the People's Action Party dominates the political process. In the electing process, it was reported that the opposition campaigns have been repressed by mass media banning, otherwise there were strict regulations (Retrieved from: https://freedomhouse.org/report/freedom-world/2013/singapore#.VV2iW_nvO01 ) . Moreover, Singapore's Constitution provided that a person that has been convicted of an offence is not eligible to stand for parliment for a considerably long time, which can be applied to poitical opponents and eliminate them from electing process (Retrieved from ' International Bar Association': http://www.ibanet.org/Article/Detail.aspx?ArticleUid=77f9bba5-38bd-4a2a-8972-8680d7821d5b ) Q7- Not every person has access to the political power in Singapore, due to the pre-dominated PAP and its successors have always leading the process and even controed the civil society.Furthermore, Singapore is considered to have weak pluralist politics. ( Politics in Pacific Asia: An Introduction. Huang, Shiaoming. 2009. pg. 87) Q8 - In Singapore, Radio and television are both managed by government corperation. The press is also being regulated in various ways: through the government's licensing power or informal advice ( Milne, R., & Mauzy, D. K. (1990) . Singapore: The Legacy of Lee Kuan Yew. San Francisco : Westview Press) . Mass media was also limited: http://www.internations.org/singapore-expats/guide/16087-safety-security/limitations-of-civil-freedoms-in-singapore-16091 Q9- President: 'The President shall not be liable to any proceeding whatsoever in any court in respect of anything done or omitted to be done by him in his official capacity'. (Singapore's Constitution, Chapter 1, Act 22K) Q10 - Civil rights such as freedom of speech or expression are broadly restricted in Singapore. (Retrieved from freedomhouse.org, and international.org ) Q11 - The judiciary was under the effection of PAP leaders, and to some extent was not judicial independent. Examples are the lawsuits and bankrupting mentioned above. (This part retrieved from freedomhouse.org: https://freedomhouse.org/report/freedom-world/1999/singapore#.VV2l0PnvO00 ) . The same report in 2008 also confirm that the judiciary is not independent ( https://freedomhouse.org/report/freedom-press/2008/singapore#.VV6jNPnvO00) q12 - once again, the power check and balance depends on the role of judiciary. But as mentioned, judiciary in Singapore is highly regulated by the ruling party. q13 - there are three major ethnics in Singapore: Chinese, Malaysian and Indian. There was not much conflict between these group. It was because at the point of establishment, Singapore has declared to be multiracial nation. Although, there were still some problem such as the majority or population is Chinese and caused some unequal treatment in employment. Even so, ethnic integration process in Singapore has seens positive results. (Leo Suryadinata. Ethnic Relations and Nation - Building in Southeast Asia: The Case of Ethnic Chinese . pg. 208) q15- With the effective Corrupt Practices Investigation Bureau (CPIB) of Singapore, there were not many but only some rare highlight scandal of misusing public resoursces during the time given (retrieved: http://blog.moneysmart.sg/opinion/singapores-top-5-corruption-cases-so-far/ ) . Given Transparency International report, the sign of corruption in Singapore is barely exist. (execpt for the case that International Companies lobbied the government in 1996 : https://www.transparency.org/news/pressrelease/singapore_corruption_scam)",1,3,2,1,1,1,1,0,2,3,4,2,8,7,15
"Saudi Arabia",2002,2011,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Condoning illegal business dealings""","Saudi Arabia was a very easy country to find information from - it has been an important Middle Eastern ally of Europe and the United States for decades, so there is a wealth of reliable material to study in order to find answers to these questions. I am very confident in the answers I have given to these questions, as information regarding them is freely available online, including studies by Human Rights Watch and Freedom House, amongst others. Two questions that I had some difficulty with were Question 5 about universal suffrage and Question 15 about corruption. In terms of Question 5, I was unsure whether to go for option 0 or option 1; voting in Saudi Arabia is restricted to males over the age of 21, though there have been extremely conservative reforms to let women vote in some minor matters. I was unsure whether males over the age of 21 constituted a majority in Saudi Arabia, so I opted to go with option 1, as women are all banned from voting because of their gender In terms of Question 15, the data about corruption in Saudi Arabia seems to suggest that the corruption is largely limited to the elites of the government, i.e. the royal family. This was defended by Prince Bandar bin Sultan, who was at the centre of the most notable corruption scandal in Saudi Arabia in 2007, when it was revealed that he had been paid $2 billion in bribes by the British defence contractor BAE Systems relating to the huge Al-Yamamah arms deal between Saudi Arabia and the UK. Thus, it seems that while the royal family are massively corrupt, the corruption ends there for the most part. Otherwise, Saudi Arabia was an easy country to find reliable information on in regards to the questions, and I am very confident in my answers to these questions.",0,1,0,0,0,0,0,0,0,0,5,1,1,0,1
"Russian Federation",2008,2012,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Condoning illegal business dealings""","Is Russia a ''managed democracy'' (Kratsev and Holmes), a ''pseudo-democracy'' (Graeme Robertson), or just a kind of authoritarian regime among others ? Even if the common assumption shared by occidental countries nowadays is that Russia is definitely not a democracy, it is still difficult to range the country within the traditional classification of political regimes. That is why looking at specific features such as the importance of political rights, civil liberties and corruption is relevant in order to understand a bit more the current russian political system. The time period picked is 2008-2012, in order to analyze a moment of political change in Russia : four years when Putin was not supposed to hold power. In 2012, Putin became president for a new term, showing that russian constitution was actually weak in front of him. Indeed, as being president more than twice in a row was not legally possible, he had to find a trick to come back. The constitution is supposed to rule the functionning of the state, and the fact that Putin managed to get around it that easily says a lot about russian political system. It shows that what is supposed to be applied in theory is not always applied in practise. In fact, it is interesting to notice that the russian constiution is very similar to the french one, whereas it is obvious that both regimes are very different... Some questions above were difficult to answer because of that matter. In terms of political rights : In theory, elections are supposed to be free in Russia. Every adults can vote from 18 years old, for the candidate of his/her choice. This is what the constitution states, but in reality, corruption or pressure on voters can applied. Moreover, elections are not fair, they are ''rigged''. In term of political opposition, Putin has a control on it. An opposition is supposed to exist but Putin through the party ''United Russia'' has actually a grip on russian politics. Still theoretically, people can have an access to political power, but the road ahead would be long and full of obstacles. As an example, to be candidate in the presidential elections, 2millions of signatures are required, signatures that members of United Russia don't need to get. Putin is also the one who picks candidates of his party at every levels of the country (Putin's ''Power Vertical''), and he is the one who picked Medvedev to replace him as a president, while he was actually still ruling the state behind the scenes. That is why nothing has actually changed during that time, and that is why russian politics is usually defined as the ''Putin's system''. Finally, in terms of media, a censorship is applied by the government, but the internet is still a way to express freely in Russia. It is a very important point to notice, as generally, regimes considered to be non-democratic, control the internet. However, the questions on the database do not allowed to underline that specificity. In terms of Civil Liberties : The existence and the freedom of associations are part of civil liberties. In Russia, civil liberties tend to be repressed. If we take the example of a new legislation introduced in 2012, changing the legal status of NGO, it is obvious. Within the framework of that legislation, if an NGO gets its funds from another county, it has to be registered as a ''foreign agent'', which supposed that it is an ennemy of the power and that it has to be watched. However, partial rights exist in Russia. For instance, it would be wrong to say that freedom of speech is totally impossible. The protests of winter 2011-2011 happened and allowed people to express their opposition to Putin, even if this opposition did not manage to be a political force afterwards. It is also important to notice that the Krelim has a control on the judiciary, which is not free, not fair and not independent. Judges appeared to be often corrupted making verdicts unfair, and penalties are often disproportionated and sometimes do not even respect human rights. The case of the ''Pussy Riots'' is really relevant in order to understand the nature of justice in Russia. It is also interesting to focus on the existence of the russian ''prokuratura'', an institution dependent on the executive power, which controls the actions of the administration members and of the courts. It makes the political power able to participate and have an impact on the judicial procedure. Talking about the treatment of minority groups, russian consitution is supposed to protect them. However, russian society is quite xenopobic and in reality, the idea of ''equal treatment'' is not respected. As a matter of fact, between the time period covered, many caucasians have been persecuted by russian extremists, but the legal process did not reflect the facts. Corruption : This is a real problem in Russia. Corruption exists at every levels of the society. Between 2008 and 2012, Russia has gone from the 147 th country out of 180 to the 133, in t erm of corruption. This little improvement shown that the government tries to work on it, but it is a phenomenon deeply anchored in russian society. At a state level, the corruption is also noticeable if we look at the close relationship between the power and other groups of interests, or if we look at the way elections are engineered in Russia by ''Putin and his clique'' (Kratsev and Holmes) .",2,3,2,1,1,1,1,0,0,2,5,0,9,4,13
"Mozambique",1977,1992,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Fraud committed by private citizens against the government"",""Condoning illegal business dealings"",""Other""","Votes - Mozambique broke into a brutal 16 year civil war directly following its independance from Portugal. This was completely military fueled and no elections were held. Suffrage - In the absence of elections, suffrage was irrelevant. Opposition - NOT THROUGH ELECTION, two forces fighting against each other. RENAMO and FRELIMO fought hard against one another to hold power over different regions throughout the entire 16 year civil war. Both had power over the other, and their confilct was fueled by a belief that the other group was evil. Access to political power - Only military leaders had access to power. The tactics of this war were brutal and resulted in huge bloodshed for civilians. Media - The government was essentially two feuling military groups, and was not concerned with media. Freedom of media was not a concept as there was no working constitution. Rule of Law - No constitution, in 1989 a draft constitution by FRELIMO was the product of peace talks between sides, but was not enacted until 1990 but the brutal war was not over until 1992 Fundemental Human Rights - Mozambique was a place of massive bloodshed and fighting. There were child soliders. Global human rights activists were aware of the situation. RENAMO was known for its war crimes and crimes against humanity. All civil liberties - No working constitution! Only outside groups existed to help out groups. The post Portugal government was incredibly frail and divided and was not effective at governing so much as fighting. Types of corruption - Hard to tell! Because the two groups of the civil war were fundemental to the identity of the newly independent nation, there is little history to base this on, and the government was primarily inside dealings. Overall - sometimes hard to gather data because of the nature of the corrupt government. Most information was about the fued, not about the people who were subject to a corrupt government. I did the best with the information available, and really enjoyed learning about Mozambique, especially the peace talks which weren't covered here too much, a very cool history. I hope that the stability found in 1992 can be continued, even if some corruption continues to emerge.",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"Belarus",1994,2015,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Fraud committed by private citizens against the government""","The first country that I'm doing my research on is Belarus since 1994 until the present day. Since the 20 th June 1994 Alexander Lukashenko rules the country. His style of governing is described by many scholars such as Steven M. Eke, Taras Kuzio or Vitali Silitski and NGOs like Amnesty International as authoritarian. The Bertelsmann Transformation Index 2003 ranked it as an Autocracy (Index, 2003) . Even the very first presidential elections were 'relatively free and fair' (Silitski, 2005) Lukashenko created his own political apparatus to keep power to himself rather than establishing more democratic institutions. Since then, like Vitali Silitski notes, Lukashenko's Belarus changed some major things within the state apparatus, which extend the personal power of the president and created a long-lasting non-democracy in East-Europe. He made Russian the official language, extended his first term of being a president up to seven years 'and replaced the unicameral Supreme Council with a much weaker bicameral legislature consisting of a 64-seat Council of the Republic and a 110-seat House of Representatives' (Silitski, 2005) . According to the Freedom House reports from 1998 until 2015 Lukashenko's regime is nothing but a restricting and brutal political system with a unchallengeable leader. They ranked Belarus as a not free state though out their reports (Freedom House Rating: 6.0 1998-&gt;2005 ; 6.5 2006-&gt;2015 (House, 2015) [-with 7 being the worst] ) . But just like Steven M. Eke and Taras Kuzio noted in their analysis of the Sultanism in Belarus -as what they call Lukashenkonism -we have to consider 'that the majority of the population either did not take this threat seriously or did not see anything necessarily bad in an authoritarian dictatorship' (Eke & Kuzio, 2000) and that there was support for Lukashenko's power extension since then. And although the constitution guarantees universal suffrage the elections processes are manipulated and rigged by the regime in favour to keep Lukashenko in the presidents seat or to change (with a referendum) certain aspects of the political apparatus to extend his personal power -like the Freedom House report says. The rule of law is not protected and the personal rule of Lukashenko and his regime established 'a growing personality cult in Belarus' (Eke & Kuzio, 2000) . There is no real independence of the judiciary (which is guaranteed through the constitution) . Not only that the regime gained control over the hole state administration and judiciary, they also managed to first of all weaken the opposition and then systematically get rid of it. Like Silistki wrote, opposition politicians simply died or got lost: 'First to go missing was Lukashenka's former minister of interior Yury Zacharanka' (Silitski, 2005) . Other sources like a BBC's article in 2012 show that the opposition basically has no chance and that politicians who are willing to challenge Lukashenko (direct or indirect) are jailed (BBC, 2012) . Other sources like a Radio Free Europe / Radio Liberty article draw the same picture: there is no democratic institutionalization in Belarus and the opposition is taken out (and into jail) (Bigg & Hruzdzilovich) . Lukashenko's Populism is broadcasted through almost every media channel in Belarus. The regime is in control of the media and rules with an iron fist to end every kind of rising protest, organized threat or journalistic critique. Furthermore certain civil liberties such as Freedom of Assembly, Speech or Mobility are not guaranteed. The people of Belarus are not allowed to form informal Organisations and travelling is restricted. And even though the constitution ensures equal rights to everybody the reality in Belarus shows something different. According to the Minority Rights Group International and their report 2015 (Lattimer & Verbakel, 2015) Poles in Belarus have to fear some sort of Xenophobia. And GlobalGays.com notes that 'Homosexual sex was legalised in Belarus in 1994, however Gay rights in Belarus are still severely limited' (GlobalGayz.com, 2010) . All in all that shows a picture of an authoritarian regime or dictatorship with great power and force. It seems that Alexander Lukashenko does not have to be hold accountable for his action within the country, but he and his regime gets a lot of international negative criticism. Finally corruption within the Lukashenko regime is a big problem - although corruption is legally criminalized. Like the Freedom House reports show and the Business Anti-Corruption Portal notes: it is 'at all government levels in Belarus; industry, education, healthcare and construction are particularly vulnerable sectors' (Portal, 2014) . List of references BBC. (2012, September 24) . BBC News . Retrieved from http://www.bbc.com/news/world-europe-19690249 Bigg, C., & Hruzdzilovich, A. (n.d.) . Radio Free Europe / Radio Liberty . Retrieved from http://www.rferl.org/archive/belarus_crackdown/latest/3510/3510.html Eke, S. M., & Kuzio, T. (2000, May) . Sultanism in Eastern Europe: The Socio-Political Roots of Authoritarian Populism in Belarus. Europe-Asia Studies, Vol. 52, No. 3, pp. 523 - 547. GlobalGayz.com. (2010) . GlobalGayz.com . Retrieved from http://www.globalgayz.com/europe/belarus/ House, F. (2015, May 20) . Freedom House Organization . Retrieved from https://freedomhouse.org/report/freedom-world/1998/belarus#.VVu94pWJjIU Index, B. T. (2003) . Belarus. Lattimer, M., & Verbakel, D. (2015) . Peoples under Threat 2015. Portal, B. A.-C. (2014, December) . Business Anti-Corruption Portal . Retrieved from http://www.business-anti-corruption.com/country-profiles/europe-central-asia/belarus/snapshot.aspx Silitski, V. (2005, October) . Preempting Democracy: The Case of Belarus. Journal of Democracy, Vol. 16, No. 4 .",1,1,1,0,0,1,0,0,0,1,5,0,3,2,5
"Comoros",1995,2005,"""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials""","Comoros gained independence from France in 1975 and in that 20 year span has endured 20 coups. The constant change and shifts of power have made it difficult for any stability within the country. In 1995, following on the corrupt and oppressive regime by President Mohamed Said Djohar, Mohamed Taki Abdoulkarim was elected in what is considered by international observers to have been free and fair. During Takis presidency he worked to root out corruption within the government, however he also removed all the women working for the government. Women were allowed to vote due to universal suffrage but they were mostly told how to vote by their husbands. Constant turmoil over independence and re-establishment with France between the three islands of Comoros led to inter island political conflict. In 1998 Taki died under suspicious circumstances and his replacement Tadjidine Ben Said Massounde, the interim President, postponed elections indefinitely. Not long after Col. Azali Assoumami led a successful military coup to overthrow Tadjidine. Following this Azali worked with the other islands of Comoros to initiate a power dynamic that would rotate leadership every 5 years between islands. In 2001 the draft agreement was signed and the following year a Presidential election was held. The election is reported to be marred by violence, with allegations of voter fraud as well as the boycott by two of the three candidates. It was later announced that Col. Azali Assourmani was the new president of unified Comoros. Individuals or coups that have risen to power have been come throughout Comoros independence. These coups often have powerful benefactors behind them such as Bob Denard, a mercenary, ruled with and behind Ahmed Abdullah who held power in the 70's and 80's. After a final coup that ended Abdullahs rule in 1979 he continued to lead coups followed by his sons later on. In Freedom Houses report Comoros stayed constant with civil liberties and political freedom in 1 -7 scale coming in at 3.5- 4 from 1995-2003. For political rights Comoros went from a 4 in 1995 to a 6 in 2002. In a Freedom House report on press it reported starting at a 35 in 1995 rising to a 45 in 2003 showing a decrease in freedom of speech, as the scale increases in a higher censored and monitored press. Transparency International reported Comoros as being in the lower half of most corrupt countries citing rule of law, press freedom voice and accountability and corruption being very prominent undressed issues.",2,3,2,1,2,1,1,1,1,1,4,1,10,5,15
"Honduras",2006,2006,"""Misuse of public resources by top officials""","I was unable to find specific information geared at Honduras in 2006, I did use multiple resources in trying to find information about the above questions. I tried my best in finding some evidence for each question answered.",3,3,3,1,2,2,2,1,3,2,2,1,12,10,22
"Lao People's Democratic Republic",2003,2014,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Fraud committed by private citizens against the government"",""Condoning illegal business dealings""","2. 2003 is one year before trade normalization between Laos and the United States. The United States has since become one of Laos's most important trading partners. The influx of easy wealth into the country with no doubt has had a great impact on Laotian politics. 3. 2014 is almost now. 4. Elections are held in the country, but only for representatives in the National Assembly. But they are meaningless as candidates are fielded from local Party loyalists - active local members of Party and its Patriotic Front - and approved by local Party secretaries. Important positions such as President, Prime Minister, Central Committee and Politburo members are officially elected by National Assembly but de facto appointed by top personages upon consensus. 5. Laos does not grant voting right to those under 18, mentally ill, or incarcerated. And it prefers to keep the population away from mass mobilization and political participation. Interestingly, the court is given power to revoke one's right to vote and be elected by Article 36 of the Laotian Constitution. Since the court is not independent of the Communist Party, it can be used to disable political rivals. 6. Laos does not have an effective political opposition, if any at all. Some intellectuals provide gentle criticism of government policies but their number is tiny, their profiles are obscured, and their organization is non-existent. Furthermore, Laotian (political) culture is characterized by mildness and passiveness. 7. Most Laotians do not have access to political power. Those wielding it inherit from their predecessors or buy it with personal connections and wealth. Laos's ethnic makeup to a large degree is heterogeneous. Loyalty to the Party is of utmost importance and has helped many from ethnic minorities ascend the ladder of power. However, the Hmongs and Montagnards are implicitly barred from politics. These tribes are converted Christians and fought for imperial masters, and have been actively persecuted since nationalist / communist independence. 8. The rapid penetration of information technology and the lawless frontier characteristic of cyber space have been tipping the scale minorly in opposition's favor. However, computers have not been as effective as television in reaching rural areas beyond the cities, where most of Laos population live in material, and informational, poverty. Here, state media under firm government control and state propaganda dominate. 9. This regime is not constrained under the law. Legally and technically. Legally, it is the paramount leader of the country. Technically, the Party controls the National Assembly, charged with legislation, so laws are written as they suit the interests of the Party. Its leaders, both national and local, are officially subject to the rule of law. Hovvever, a regime built upon corrupt co-optation has not other choice but to give their supporters some leevvay in terrorizing ordinary citizens. 10. Laotian citizens and residents are accorded with all fundamental human rights by Laotian Constitution. However, the more important of these rights are subject to regulation by lower laws: freedoms of movement and settlement, of demonstration, association, and assembly. Article 42 of Laotian Constitution also allows for the 'violation' of a person's body, honor, and home without leave from the prosecutorial authority or the court. Article 41 requires complaints and petitions to be lodged to Party's organs according to Party's guidelines in order to be considered not illegal. In conclusion, freedoms are enshrined in constitution, but provisions are customized to be empty on their own. Instead of using amendment as done in the United States, constitutional conditions are stripped away and hidden in complicated legal decrees frequently changed without public consultation, aimed at increasing regime's flexibility to rule, disorientating the common folks and dissidents, discouraging their constitutional invocation, denying them shelter under the law. 11. Laotian People's Supreme Court is the highest judicial organ in the country, however, not the highest judicial authority. By proletarian dictatorship, the National Assembly is repository of all power in the state, including judicial power. It delegates this power to the Supreme Court by appointing judges from within the Party's rank. 12. In practice, Laotian government is answerable to the Party long before they are called to be held accountable to the public if grave circumstances arise. The Party by virtue of law and power answers to its own. There is no separation of power, no independent checks and balances. Power flows from the Party and is coordinated by the Party. Corruption investigation authority is available, but is staffed but the Central Committee of the Party, and answers to Party alone. After all, Party power comes from being the head of Human Resources, and knowledge impacting seat allotment is very much a Human Resources business. Parliamentary proceedings are open to public scrutiny. But meetings that truly matter, the Party Congresses in every five years, when all pillars of the country gather under one roof and decide the fate of the realm, are conducted behind closed doors. As are all other Party conferences. 13. Equal treatment to all ethnicities is recognized under the Constitution. But beyond that, there is no measure to protect or promote the welfare of any particular minority. And as mentioned, the government oppresses oppositional minorities such as the Hmongs and Montagnards. 14. I am very confident. Descriptions of Laos are not scarce in Vietnam given Vietnamese extensive commercial presence and ethnic contribution to Laos's population. I have also studied and lived alongside Laotian privileged kids. 15. & 16. It's just really bad. I don't want to spoil all surprised before we get to the Vietnam section.",0,2,0,1,0,0,1,0,0,2,4,0,3,3,6
"Kuwait",1999,2004,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Condoning illegal business dealings""","Due to there being less data available on Kuwait than Kenya, I had to rely heavily on the Freedom House reports. They revealed that rather than the Westminster convention of how democracy functions, Kuwait uses a different type of system - all the senior members of parliament are personally chosen and appointed by the Emir, and though these can be contested by the publicly-elected Natinoal Assembly, the Emir's choices are usually respected. Additionally, the country is governed by sharia law, providing a religious basis for its enforcement, and the Islamic movement that was active in Kuwait over this period provided widespread conservative resistance to the government's agenda. Economic reports from the Heritage Foundation and anti-corruption agencies listed the strongly protectionist stance in the Kuwaiti economy,",1,1,2,1,2,3,1,1,1,2,3,1,7,8,15
"Ethiopia",1999,2002,"""Bribe-taking by public officials"",""Special privileges granted to politically-connected people"",""Misuse of public resources by top officials"",""Condoning illegal business dealings""","Ethiopia in 1999 According to Steve (2010 ),In 1999, Ethiopia was really engaged in war with Eritrea and despite minor political problems, generally political parties and even people of Ethiopia had been sympathetic government. The war gave an opportunity for the prime minister ( Meles Zenawi ) to have consolidated power ( Ibd ) Political rights Political right in 1999 according to Human Rights Watch World Report 1999 Ethiopian People's Revolutionary Democratic Front (EPRDF) led Ethiopian government mad efforts to introduce political and economic reforms with the help of donor countries. Generally speaking, the constitution that drafted in 1994 allowed those ethnically based federal districts to have executive, legislative and judicial power. However, the EPRDF led federal government put obstacles over the judicial process by means of affiliated political parties who have greater influence in the regional admirations (Human Rights Watch World Report 1999 The government did not respect the basic human right of political dissents especially those who strongly criticized the government, many political figures were detained for many months without trail and exposed severe harassment ( Human Rights Watch World Report 1999 ) . For example All Amhara People Organization (AAPO) and the Council of Alternative Forces for Peace and Democracy in Ethiopia (CAFPD), are excluded and many people have been arrested without trail in the country side by militias who are loyal to the EPRDF affiliated parties. Judicial system According to Ethiopian constitution drafted in 1994 judiciary system is independent but in practice, judicial system of the country was under the influence of government. For example the practice of extrajudicial killings were commonly seen especially for those who sympathized with Oromo Liberation Front (OLF ) had been the subject of this systematic extrajudicial killings ( Amnesty International (1999 ) . According to US state Department, In February 1999, Soro district police committed atrocities over the two farmers who had been accused of cooperating with the opposition and for refusing paying taxes for the government and also one young man who attended funeral for the renowned and founder of All Amhara people Organization Dr. Asrat Woldeyes, became victim of extrajudicial killings. The report went to say that the Ethiopian government committed arrested twenty six Nuer who were the members of Gambela people's democratic Congress ( GPDC ) though twelve of them were set free soon. The cause of arrest for some activities directly associated with the student demonstration took place and Oromo people who were suspected of cooperating with OLF. In November 1999 a week long demonstration was held by the students of Sodo when two teachers had been arrested because they showed their resistance against the use of new language. In those demonstration ten people were killed and about hundred demonstrators got injured or wounded and also thousand faced arbitrary arrest (U.S department State 1999 ) Media In 1999, the government passed law that needed to review the 'application of private radio and TV licenses in order to prohibit/ restrict opposition parties'medias consumption US State Department 1999) . Even though Freedom of speech was relatively allowed but arrest for journalists were reported by US state department. For example, In June 1999 Dr Woldesemayat was the president of Ethiopian Teacher Association ( ETA) put behind bar for allegedly conducting terrorist activity and sentenced to fifteen years ( US State Department 1999 ) . The well renowned Samson Seyoum Kebede ex editor of GOH was arrested for allegation of inciting war and helping spread Islamic fundamentalism ( ibid ) In December 1999, Aberra Wegi, the deputy editor in chief Maebel has taken to prison because he was accused of demonising Tigray People's Liberation Front ( TPLF ) who mercilessly killed to the those captured soldiers of the ex-communist leader Mengustu Halimariam. And also Tesehalene Mengesha, deputy editor-in-chief of Zegabi, was accused of breaking press law arrested for six months and fined 2000 birr equivalent to US 250. In addition to in June Tewodros Kassa, editor-in-chief of Ethiopia, was arrested (Reporters without Borders) The international community condemned the violation of human rights against Eritreans who had been live for many years. A year later, after the war between Eritrea and Ethiopian, the Ethiopian government arrested and deported Eritreans. According to US State Department about one thousand and two hundred were rounded up from where they had lived and taken to prisons ( Dedesa, ) by the security. The ICRC reported that hundreds of Eritreans were held in the police stations. In June 1999 the Ethiopian government granted for the first time to the ICRC to visit where Eritreans were held. As US State Department report showed that Eritrean were allowed to go to any countries (except their country) if they got visa. However the government gain violated the right of those of who retuned back from Malawi ( US State Department 1999 ) . However, 6, 000 members of Jehovah Witness who had lived, did not face deportation as the Ethiopian government believed that they would face persecution if they went to Eritrea (US State Department. Freedom of movement Though Freedom of Movement Within the Country is enshrined in the country's constitution which is any citizen has the right to travel and emigrate but the government did not apply the constitution and All Amhara people organization who had been accused of treason in the 1998, had been denied the right of travel . and in similar way, the government denied the Norwegian human rights group who sought to supervise the election which was going to be held in 2000. In the early of April 1999, the Ethiopia government formulated policy that allowing Eritreans who had been in prisons ( Bilate and Dedesa ) to get visas from any country except Eritrea. About 90 prisoners had got chances of getting visas, most of whom got from (US State Department) Election In fact, there was no election held in 1999 but a year after ( 2000 ) parliamentary election was held. In that election relatively was generally described as fair election though there had been electoral fraud in the southern region (US State Department 2000) The Ethiopian Peoples'Revolutionary Front (EPRDF) had got high turnouts, opposition parties participated in the election but they did not do enough job due to lack of fund, were only competed for twenty percent of the federal seats while the EPRDF and its affiliated political parties won 518 seats out of 547 Meles was re-elected as in the parliamentary election 25 million people cast their votes and 35 opposition parties contested in the election ( US state department office ) . According to European Union observers, the election which was held in 2000 was free from violence though prime Meles zenawi accusing opposing groups for preaching 'ethnic hatred' in a similar way of what happened in Rwanda (1994 ( BBC 2000 ) Freedom of association (religion) The constitution respects the freedom of religion, the government, generally commendable on the freedom religion despite some local authorities did minor infringement on the right of religion (US state Department 1999) . Corruption According to Plummer ( 2012 ) corruption in Ethiopia is common especially in the government institutions and organizations for example corruption in telecommunication sector is pervasive. In 1999 though number of mobile phones was very limited but corruption was relatively high. I can not justify all my answers are right but I can justify all are reasonable. Pershanps in the 1999 Ethiuopia wa under new leadership which was the guerrilla fighters who overthrew the Dergi Regime. In fact It was at war with Eritrea and depoted and arrested thousands of Eritrea. I know both Tigray Liberation Front (TLF ) which domnated the ruling party EPRDF and Eritrean Liberation Front ( EPLF ) followed alomst the sytem though ideologically differeed. Therefore, EPRDF led government of ethiopia do not seem good at handling or treating minorities and and also seem intorelent when journalists come to critize. and the ruling party does not seem to leave power via eletions becasue even the 2000 eletion did not seem fair though some reports said it iwas fair. Generally Ethiopia in the 1999 seemed be better than now because the 2005 election was the sheer violation of human rights.",1,3,2,0,1,1,2,2,1,0,4,0,7,6,13
